graph,best possible solution,heuristic_result,heuristic_time (sec),heuristic_time (ms),,,
hamming6-2.clq,32,32,0,61,,0,52
MANN_a9.clq,16,16,0,42,,0,39
c-fat200-1.clq,12,12,1,1461,,2,2107
c-fat200-2.clq,24,24,1,1541,,1,1239
gen200_p0.9_55.clq,55,41,0,408,,0,552
hamming6-4.clq,4,4,0,102,,0,103
san200_0.7_1.clq,30,17,0,221,,0,246
san200_0.9_1.clq,70,70,0,557,,0,532
san200_0.9_2.clq,60,40,0,387,,0,389
c-fat500-10.clq,126,126,6,6285,,6,6337
c-fat500-5.clq,64,64,11,11314,,8,8305
c-fat200-5.clq,58,58,2,2254,,2,2153
c-fat500-1.clq,14,14,9,9576,,14,14187
c-fat500-2.clq,26,26,11,11182,,15,15547
san200_0.7_2.clq,18,14,0,571,,0,487
C125.9.clq,34,34,0,612,,0,590
keller4.clq,11,11,0,546,,2,2677
brock200_2.clq,12,9,3,3208,,17,17685
p_hat300-1.clq,8,8,2,2746,,30,30673
brock200_3.clq,15,12,20,20848,,28,28515
gen200_p0.9_44.clq,44,38,1,1091,,0,901
brock200_4.clq,17,15,27,27152,,32,32807
san200_0.9_3.clq,44,34,0,737,,0,477
brock200_1.clq,21,20,69,69817,,143,143907
p_hat300-2.clq,25,25,10,10710,,33,33748
sanr200_0.7.clq,18,18,51,51980,,52,52677
