graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,1,16,24,2,13,0,0,
c-fat200-2.clq,24,24.000000,24,0,5,10,25,9,14,0,0,
gen200_p0.9_55.clq,55,55.000000,48,0,46,356,701,16,350,0,4,
hamming6-4.clq,4,4.000000,4,0,0,83,122,1,62,0,0,
san200_0.7_1.clq,30,30.000000,22,0,24,209,371,14,186,0,2,
san200_0.9_1.clq,70,70.000000,70,0,2,7,9,1,6,0,0,
san200_0.9_2.clq,60,60.000000,50,0,16,184,353,5,176,0,2,
c-fat500-10.clq,126,126.000000,126,0,12,6,9,19,6,0,0,
c-fat500-5.clq,64,64.000000,64,0,296,17,44,48,23,6,28,
c-fat200-5.clq,58,58.000000,58,0,58,93,171,39,87,0,5,
c-fat500-1.clq,14,14.000000,14,0,13,28,43,21,23,0,0,
c-fat500-2.clq,26,26.000000,26,0,86,35,66,33,35,1,6,
san200_0.7_2.clq,18,18.000000,18,0,17,62,147,6,74,0,1,
