graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,2,19,25,2,14,0,0,
c-fat200-2.clq,24,24.000000,24,0,5,14,26,10,15,0,0,
gen200_p0.9_55.clq,55,55.000000,50,0,16,28,82,5,40,0,1,
hamming6-4.clq,4,4.000000,4,0,0,81,123,1,63,0,0,
san200_0.7_1.clq,30,30.000000,22,0,16,130,207,9,104,0,1,
san200_0.9_1.clq,70,70.000000,70,0,4,6,10,0,6,0,0,
san200_0.9_2.clq,60,60.000000,52,0,23,142,278,6,138,0,3,
c-fat500-10.clq,126,126.000000,126,0,149,36,77,27,41,1,9,
c-fat500-5.clq,64,64.000000,64,0,139,15,39,30,21,3,9,
